sample_id,has_text_embedding,has_image_embedding,text_preview
217392,True,True,Item Name: Gift Basket Village Gourmet Meat and Cheese Gift Set - Swiss Cheese & Summer Sausages - G...
209156,True,True,"Item Name: NPG Dried Lotus Seeds 16 Oz, Uncooked White Phool Makhana, Fox Nut, Perfect for Lotus See..."
262333,True,True,Item Name: Annies Homegrown Macaroni and Cheese - Organic - Classic - 6 oz - case of 12 - 95%+ Organ...
295979,True,True,"Item Name: Bear Creek Country Kitchens Creamy Wild Rice Soup Mix, 10.1 Ounce
Product Description: 10..."
50604,True,True,"Item Name: Japanese Kelp Kombu Umami Soup Stock, Instant Seasoning Base, Product of Japan, 4g x 10 P..."
184343,True,True,"Item Name: LÄRABAR Key Lime Pie, Gluten Free Vegan Fruit & Nut Bars, 1.6 oz, 16 ct
Bullet Point 1: H..."
11241,True,True,"Item Name: FRONTIER Ground Cumin, 0.5 OZ
Bullet Point 1: Diet Type: Kosher
Bullet Point 2: Non-GMO C..."
17551,True,True,"Item Name: Schweppes - Bitter Lemon
Value: 11.15
Unit: Fl Oz
"
13187,True,True,Item Name: Taffy Town Saltwater Taffy- Chip Cookie | Gourmet Taffy| Nougat-Style Candy| Soft & Delic...
55004,True,True,"Item Name: Vegan Egg Substitute For Baking 12 oz (340 g) | Just About Foods
Bullet Point 1: Meet our..."
182180,True,True,"Item Name: 1907 WATER New Zealand 67.6Fz Water, 67.6 FZ
Bullet Point 1: Natural ingredients
Bullet P..."
104303,True,True,"Item Name: Jalapeno Pecan Jelly 11 oz. | Millican Pecan since 1888 | San Saba, Texas
Value: 11.0
Uni..."
21764,True,True,"Item Name: Mina Harissa Hot Sauce, Gourmet Moroccan Heat, Homestyle Spicy Red Chili Harissa Paste wi..."
70671,True,True,"Item Name: SEVENTH GENERATION Honeycrisp Apple Foaming Dish Spray Refill, 16 FZ
Bullet Point 1: Safe..."
165919,True,True,"Item Name: LorAnn Tangerine Oil SS, Natural, 1 dram bottle (.0125 fl oz - 3.7ml - 1 teaspoon)- 12 Pa..."
261335,True,True,"Item Name: Langers 100% USA Grown Juice, Concord Grape, 64 Ounce (Pack of 8)
Bullet Point 1: 100% Ju..."
18662,True,True,"Item Name: PAM No-Stick Cooking Spray, Original (Pack of 2)
Value: 12.0
Unit: Ounce
"
72584,True,True,"Item Name: YumEarth Choco Yums, 5- 0.7 Ounce Snack Packs, Allergy Friendly, Gluten Free, Non-GMO, Ve..."
143166,True,True,"Item Name: Troyer Cheese Onyums Onion Flavored Rings (2 bags)
Bullet Point 1: Pack of 2 bags
Bullet ..."
186882,True,True,"Item Name: L’Oréal Paris Cosmetics Color Riche Matte Lip Liner, Matte-stermind, 0.04 Ounce
Bullet Po..."
39645,True,True,"Item Name: Simply Asia Spicy Mongolian Noodle Bowl, 8.5 oz (Pack of 6)
Bullet Point 1: Spicy Mongoli..."
159533,True,True,"Item Name: Taffy Town Watermelon Salt Water Taffy, 1LB
Value: 16.0
Unit: Ounce
"
60187,True,True,Item Name: Black Salt | Authentic Kala Namak for Indian & Global Cuisine | Mineral-Rich Vegan-Friend...
170797,True,True,Item Name: Crystal Light Sugar-Free Zero Calorie Liquid Water Enhancer - Blueberry Raspberry Water F...
66314,True,True,"Item Name: SWEDISH FISH Mini with Assorted Eggs Soft & Chewy Easter Candy, 18 Snack Packs
Bullet Poi..."
51091,True,True,"Item Name: Goodman's Pure Peppermint Extract - 1 ounce (Pack of 2)
Bullet Point 1: Kosher
Bullet Poi..."
